id;name;value;status
1;Colombian Peso Unidad de Valor Real architect Extension;Producer;69258
2;Avon help-desk SQL;maroon;68026
3;utilisation;compressing flexibility;6507
4;Stand-alone Small;Metal;99999
5;Avon infrastructures Freeway;convergence;73339
6;Keyboard connecting Buckinghamshire;Generic B2B Robust;18397
7;Drive;Arkansas Games;93424
8;back-end Investment Account;virtual policy;88901
9;RAM;dedicated Visionary port;9450
10;ivory Handmade invoice;Incredible Awesome Antarctica (the territory South of 60 deg S);37658
