id;product_name;price;description;status
1;Generic Steel Tuna;53676;Assistant;74211
2;cross-platform support;98666;virtual wireless Computer;76146
3;reboot deposit Sri Lanka Rupee;86953;actuating THX;8294
4;Centers Steel Credit Card Account;63081;navigating Metical;43291
5;throughput;54662;Internal compressing;55080
6;initiative green;60561;Bedfordshire intranet Drive;29161
7;Small Wooden Bike Licensed Wooden Computer Oklahoma;95238;orange Security;46269
8;mobile distributed Dynamic;80377;JSON;86396
9;Personal Loan Account yellow;5182;Shirt intangible;27331
10;withdrawal Rubber;86573;Liaison;22423
